Компилятор, Алгоритм,N10-c,N10-кб,N500-c,N500-кб,N1000-c,N1000-кб,N50000-c,N50000-кб
CPython,bubble,0.03360002301633358,1.7109375,144.5372998714447,0.2265625,925.1061999239028,0.2265625,0.00100000761449337,0.078125
CPython,selection,0.014299992471933365,0.078125,1.497599994763732,0.078125,4.389999900013208,0.078125,0.00100000761449337,0.078125
CPython,insertion,0.001500127837061882,0.078125,0.002200016751885414,0.078125,0.001600012183189392,0.078125,0.00100000761449337,0.078125
CPython,quick,0.000800006091594696,0.15625,0.000800006091594696,0.15625,0.0009997747838497162,0.15625,242.60229989886284,1298.6171875
CPython,merge,0.0002998858690261841,0.3125,0.000400003045797348,0.3125,0.000600004568696022,0.3125,377.30769999325275,976.9375
CPython,heap,0.001400010660290718,0.0,0.001200009137392044,0.0,0.001400010660290718,0.0,741.8855000287294,0.65625
CPython,counting,[],[],[],[],[],[],110.13339995406568,2379.16015625
CPython,radix,[],[],[],[],[],[],81.62120007909834,896.171875
CPython,bucket,[],[],[],[],[],[],270.6224999856204,5078.28125
