Компилятор, Алгоритм,N10-c,N10-кб,N500-c,N500-кб,N1000-c,N1000-кб,N50000-c,N50000-кб
CPython,bubble,0.08030002936720848,0.390625,124.47950011119246,0.234375,633.3465001080185,0.2265625,0.00100000761449337,0.078125
CPython,selection,0.035800039768218994,0.1328125,1.8833999056369066,0.1328125,4.5108001213520765,0.1328125,0.0014998950064182281,0.078125
CPython,insertion,0.003200024366378784,0.078125,0.0036999117583036423,0.078125,0.0034999102354049683,0.078125,0.00100000761449337,0.078125
CPython,quick,0.00200001522898674,0.15625,0.0010998919606208801,0.15625,0.000600004568696022,0.15625,261.55779999680817,1409.6328125
CPython,merge,0.001200009137392044,0.3125,0.000600004568696022,0.3125,0.000400003045797348,0.3125,381.69639999978244,976.9375
CPython,heap,0.002400018274784088,0.0,0.001800013706088066,0.0,0.001500127837061882,0.0,880.6342000607401,0.65625
CPython,counting,[],[],[],[],[],[],110.1927999407053,2379.16015625
CPython,radix,[],[],[],[],[],[],83.61759991385043,896.171875
CPython,bucket,[],[],[],[],[],[],315.4102999251336,5078.234375
