Компилятор, Алгоритм,N10-c,N10-кб,N500-c,N500-кб,N1000-c,N1000-кб,N50000-c,N50000-кб
CPython,bubble,0.020300038158893585,0.2265625,147.95499993488193,0.2265625,818.4623001143336,0.2265625,0.001200009137392044,0.078125
CPython,selection,0.01400010660290718,0.078125,1.2509000953286886,0.078125,4.341700114309788,0.078125,0.00100000761449337,0.078125
CPython,insertion,0.001200009137392044,0.078125,0.00300002284348011,0.078125,0.001600012183189392,0.078125,0.0009997747838497162,0.078125
CPython,quick,0.00090012326836586,0.15625,0.000800006091594696,0.15625,0.000700121745467186,0.15625,278.7071999628097,2734.2734375
CPython,merge,0.0004998873919248581,0.3125,0.00030011869966983795,0.3125,0.000400003045797348,0.3125,652.536700014025,976.9375
CPython,heap,0.001200009137392044,0.0,0.0014998950064182281,0.0,0.001300126314163208,0.0,812.0720000006258,0.65625
CPython,counting,[],[],[],[],[],[],110.89759995229542,2379.16015625
CPython,radix,[],[],[],[],[],[],83.37099989876151,896.171875
CPython,bucket,[],[],[],[],[],[],269.84149985946715,5078.234375
