Компилятор, Алгоритм,N10-c,N10-кб,N500-c,N500-кб,N1000-c,N1000-кб,N50000-c,N50000-кб
CPython,bubble,0.02859998494386673,0.2265625,114.52999990433455,0.2265625,674.6303997933865,0.2265625,0.00100000761449337,0.078125
CPython,selection,0.01640012487769127,0.078125,1.301000127568841,0.078125,4.403499886393547,0.078125,0.0010998919606208801,0.078125
CPython,insertion,0.001600012183189392,0.078125,0.001600012183189392,0.078125,0.002500135451555252,0.078125,0.00100000761449337,0.078125
CPython,quick,0.0006998889148235321,0.15625,0.0010998919606208801,0.15625,0.000600004568696022,0.15625,274.25940008834004,1662.375
CPython,merge,0.000400003045797348,0.3125,0.000400003045797348,0.3125,0.0002998858690261841,0.3125,432.2206999640912,977.0078125
CPython,heap,0.001200009137392044,0.0,0.001500127837061882,0.0,0.0016998965293169022,0.0,781.7414000164717,0.65625
CPython,counting,[],[],[],[],[],[],109.9400999955833,2379.16015625
CPython,radix,[],[],[],[],[],[],85.48539993353188,896.171875
CPython,bucket,[],[],[],[],[],[],273.2887000311166,5160.6328125
